Rule,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,Eval_Count
Rule 1 (Mention Count),10,107,18,65,0.585,0.35714285714285715,0.13333333333333333,0.1941747572815534,200
Rule 2 (Section Keyword),32,117,8,43,0.745,0.8,0.4266666666666667,0.5565217391304348,200
"Rule 3 (LLM 1.5 Flash, Zero-shot)",43,115,10,32,0.79,0.8113207547169812,0.5733333333333334,0.671875,200
"Rule 3 (LLM 1.5 Flash, Few-shot)",54,102,23,21,0.78,0.7012987012987013,0.72,0.7105263157894737,200
"Rule 3 (LLM 2.5 Flash, Few-shot)",70,120,5,5,0.95,0.9333333333333333,0.9333333333333333,0.9333333333333333,200
"Rule 3 (LLM 2.5 Flash, Zero-shot)",70,102,23,5,0.86,0.7526881720430108,0.9333333333333333,0.8333333333333334,200
Hybrid (Rule 2 AND 1.5 Zero-shot),24,122,3,51,0.73,0.8888888888888888,0.32,0.47058823529411764,200
Hybrid (Rule 2 AND 1.5 Few-shot),29,124,1,46,0.765,0.9666666666666667,0.38666666666666666,0.5523809523809524,200
Hybrid (Rule 2 AND 2.5 Few-shot),31,125,0,44,0.78,1.0,0.41333333333333333,0.5849056603773585,200
Hybrid (Rule 2 AND 2.5 Zero-shot),31,124,1,44,0.775,0.96875,0.41333333333333333,0.5794392523364486,200
